school_name,9th,10th,11th,12th
Farmer High School,82.01670378619154,81.55696202531645,81.43085106382979,81.30319148936171
Floyd High School,83.21698113207547,82.91197183098592,82.98643410852713,83.00204081632653
Greene High School,81.61424100156495,80.94024205748866,82.14901960784314,82.29345794392523
Hood High School,84.63291139240506,83.25412541254126,83.77722772277228,82.5372340425532
Long High School,83.76315789473684,81.97005988023952,84.05263157894737,82.61146496815287
Lopez High School,82.01149425287356,81.55498458376157,81.52405721716515,81.79149519890261
Patterson High School,81.15684647302905,81.79703356752538,81.57627118644068,81.37434827945776
Stewart High School,83.75,84.24013157894737,83.34661354581674,83.68512110726644
Thompson High School,83.37709497206704,83.13279132791328,83.83112582781457,83.81172839506173
Vargas High School,83.81391830559758,83.08791208791209,83.39641434262948,84.06802721088435
Webb High School,81.05882352941177,81.46843853820597,81.34925373134328,81.85479041916167
