School_name,School_Type,Total_Budget,Total_Student,Per_Student_Budget,Average_Math_Score,Average_Reading_Score,Average_Overall_Score,Overall_Passing_Rate
Long High School,Charter,231503408,628,368636,83.06847133757962,93.81050955414013,88.43949044585987,89%
Hood High School,Charter,537967800,930,578460,83.5741935483871,94.07741935483871,88.8258064516129,89%
Stewart High School,Charter,894528832,1208,740504,83.77400662251655,94.12003311258277,88.94701986754967,91%
Thompson High School,Charter,1134977580,1353,838860,83.51589061345159,94.11529933481152,88.81559497413156,91%
Floyd High School,Charter,2576406912,2104,1224528,83.02804182509506,93.96625475285171,88.49714828897339,90%
Vargas High School,Charter,3902355035,2479,1574165,83.57644211375555,93.96167809600645,88.76906010488099,90%
Webb High School,District,5972068832,3074,1942768,81.41541964866623,76.55823031880286,78.98682498373455,49%
Farmer High School,District,7666242732,3429,2235708,81.59405074365705,77.0174978127734,79.30577427821522,52%
Lopez High School,District,7708776704,3428,2248768,81.72578763127188,76.87514585764293,79.30046674445741,51%
Patterson High School,District,12675265218,4389,2887962,81.4814308498519,76.64456596035544,79.06299840510367,50%
Greene High School,District,14363453300,4690,3062570,81.6955223880597,76.80746268656716,79.25149253731342,51%
